card, set, printTag, price, quantity
Kiseitai,Pharaoh's Servant,PSV-E046,0.0,62
Light of Intervention,Pharaoh's Servant,PSV-EN031,2.25,96
Light of Intervention,Pharaoh's Servant,PSV-031,1.08,48
Light of Intervention,Pharaoh's Servant,PSV-E031,0.0,74
Lightforce Sword,Pharaoh's Servant,PSV-EN005,4.0,93
Lightforce Sword,Pharaoh's Servant,PSV-005,1.08,61
Lightforce Sword,Pharaoh's Servant,PSV-E005,5.45,30
Limiter Removal,Pharaoh's Servant,PSV-EN064,0.0,84
Limiter Removal,Pharaoh's Servant,PSV-064,2.51,57
Limiter Removal,Pharaoh's Servant,PSV-E064,24.6,46
Magic Drain,Pharaoh's Servant,PSV-EN071,5.49,59
Magic Drain,Pharaoh's Servant,PSV-071,1.22,75
Magic Drain,Pharaoh's Servant,PSV-E071,10.08,57
Major Riot,Pharaoh's Servant,PSV-EN029,0.0,68
Major Riot,Pharaoh's Servant,PSV-029,1.03,17
Major Riot,Pharaoh's Servant,PSV-E029,2.66,12
Metal Detector,Pharaoh's Servant,PSV-EN022,2.45,44
Metal Detector,Pharaoh's Servant,PSV-022,1.02,53
Metal Detector,Pharaoh's Servant,PSV-E022,0.0,89
Michizure,Pharaoh's Servant,PSV-EN051,0.0,83
Michizure,Pharaoh's Servant,PSV-051,1.98,48
Michizure,Pharaoh's Servant,PSV-E051,15.14,57
Minor Goblin Official,Pharaoh's Servant,PSV-EN052,2.25,10
Minor Goblin Official,Pharaoh's Servant,PSV-052,1.08,6
Minor Goblin Official,Pharaoh's Servant,PSV-E052,4.0,37
Mirror Wall,Pharaoh's Servant,PSV-EN016,0.0,6
Mirror Wall,Pharaoh's Servant,PSV-016,1.72,62
Mirror Wall,Pharaoh's Servant,PSV-E016,22.07,63
Monster Recovery,Pharaoh's Servant,PSV-EN066,3.45,94
Monster Recovery,Pharaoh's Servant,PSV-066,1.11,62
Monster Recovery,Pharaoh's Servant,PSV-E066,8.53,67
Mr. Volcano,Pharaoh's Servant,PSV-EN044,2.25,9
Mr. Volcano,Pharaoh's Servant,PSV-044,0.98,34
Mr. Volcano,Pharaoh's Servant,PSV-E044,3.0,55
Mystic Probe,Pharaoh's Servant,PSV-EN021,2.45,48
Mystic Probe,Pharaoh's Servant,PSV-021,0.98,23
Mystic Probe,Pharaoh's Servant,PSV-E021,2.66,13
Nobleman of Crossout,Pharaoh's Servant,PSV-EN034,10.16,72
Nobleman of Crossout,Pharaoh's Servant,PSV-034,4.23,19
Nobleman of Crossout,Pharaoh's Servant,PSV-E034,25.74,71
Nobleman of Extermination,Pharaoh's Servant,PSV-EN035,0.0,76
Nobleman of Extermination,Pharaoh's Servant,PSV-035,1.17,45
Nobleman of Extermination,Pharaoh's Servant,PSV-E035,17.46,74
Numinous Healer,Pharaoh's Servant,PSV-EN023,0.0,54
Numinous Healer,Pharaoh's Servant,PSV-023,1.16,24
Numinous Healer,Pharaoh's Servant,PSV-E023,15.56,40
Oni Tank T-34,Pharaoh's Servant,PSV-EN059,2.25,57
Oni Tank T-34,Pharaoh's Servant,PSV-059,1.0,76
Oni Tank T-34,Pharaoh's Servant,PSV-E059,0.0,38
Overdrive,Pharaoh's Servant,PSV-EN060,1.99,95
Overdrive,Pharaoh's Servant,PSV-060,1.04,11
Overdrive,Pharaoh's Servant,PSV-E060,0.0,14
Parasite Paracide,Pharaoh's Servant,PSV-EN003,20.25,89
Parasite Paracide,Pharaoh's Servant,PSV-003,3.03,84
Parasite Paracide,Pharaoh's Servant,PSV-E003,11.35,13
Premature Burial,Pharaoh's Servant,PSV-EN037,44.88,98
Premature Burial,Pharaoh's Servant,PSV-037,5.44,24
Premature Burial,Pharaoh's Servant,PSV-E037,0.0,93
Prohibition,Pharaoh's Servant,PSV-EN039,0.0,25
Prohibition,Pharaoh's Servant,PSV-039,4.94,54
Prohibition,Pharaoh's Servant,PSV-E039,22.75,52
Rain of Mercy,Pharaoh's Servant,PSV-EN065,1.99,36
Rain of Mercy,Pharaoh's Servant,PSV-065,1.15,42
Rain of Mercy,Pharaoh's Servant,PSV-E065,2.89,94
Respect Play,Pharaoh's Servant,PSV-EN032,2.25,96
Respect Play,Pharaoh's Servant,PSV-032,1.04,30
Respect Play,Pharaoh's Servant,PSV-E032,2.89,10
Science Soldier,Pharaoh's Servant,PSV-EN097,1.99,52
Science Soldier,Pharaoh's Servant,PSV-097,1.01,42
Science Soldier,Pharaoh's Servant,PSV-E097,0.0,86
Shadow of Eyes,Pharaoh's Servant,PSV-EN075,2.25,29
Shadow of Eyes,Pharaoh's Servant,PSV-075,0.99,75
Shadow of Eyes,Pharaoh's Servant,PSV-E075,0.0,72
Shift,Pharaoh's Servant,PSV-EN067,0.0,57
Shift,Pharaoh's Servant,PSV-067,1.05,30
Shift,Pharaoh's Servant,PSV-E067,5.43,78
Skull Mariner,Pharaoh's Servant,PSV-EN092,1.99,52
Skull Mariner,Pharaoh's Servant,PSV-092,1.02,68
Skull Mariner,Pharaoh's Servant,PSV-E092,9.56,33
Solemn Wishes,Pharaoh's Servant,PSV-EN055,4.49,47
Solemn Wishes,Pharaoh's Servant,PSV-055,3.32,13
Solemn Wishes,Pharaoh's Servant,PSV-E055,7.84,2
Solomon's Lawbook,Pharaoh's Servant,PSV-EN013,2.45,27
Solomon's Lawbook,Pharaoh's Servant,PSV-013,1.03,96
Solomon's Lawbook,Pharaoh's Servant,PSV-E013,5.84,94
Souls of the Forgotten,Pharaoh's Servant,PSV-EN098,0.99,12
Souls of the Forgotten,Pharaoh's Servant,PSV-098,1.02,0
Souls of the Forgotten,Pharaoh's Servant,PSV-E098,0.0,74
Sword Hunter,Pharaoh's Servant,PSV-EN077,3.95,5
Sword Hunter,Pharaoh's Servant,PSV-077,1.14,84
Sword Hunter,Pharaoh's Servant,PSV-E077,0.0,54
The All-Seeing White Tiger,Pharaoh's Servant,PSV-EN093,2.25,11
The All-Seeing White Tiger,Pharaoh's Servant,PSV-093,1.05,3
The All-Seeing White Tiger,Pharaoh's Servant,PSV-E093,2.66,92
The Eye of Truth,Pharaoh's Servant,PSV-EN010,2.25,4
The Eye of Truth,Pharaoh's Servant,PSV-010,1.05,58
The Eye of Truth,Pharaoh's Servant,PSV-E010,2.89,37
The Fiend Megacyber,Pharaoh's Servant,PSV-EN100,19.99,80
The Fiend Megacyber,Pharaoh's Servant,PSV-100,2.95,86
The Fiend Megacyber,Pharaoh's Servant,PSV-E100,21.35,22
The Legendary Fisherman,Pharaoh's Servant,PSV-EN076,0.0,87
The Legendary Fisherman,Pharaoh's Servant,PSV-076,6.57,26
The Legendary Fisherman,Pharaoh's Servant,PSV-E076,19.35,3
The Regulation of Tribe,Pharaoh's Servant,PSV-EN027,0.0,45
The Regulation of Tribe,Pharaoh's Servant,PSV-027,1.08,17
The Regulation of Tribe,Pharaoh's Servant,PSV-E027,2.61,76
The Shallow Grave,Pharaoh's Servant,PSV-EN036,2.45,88
The Shallow Grave,Pharaoh's Servant,PSV-036,1.74,89
The Shallow Grave,Pharaoh's Servant,PSV-E036,22.21,79
Thousand-Eyes Idol,Pharaoh's Servant,PSV-EN083,0.0,27
Thousand-Eyes Idol,Pharaoh's Servant,PSV-083,3.23,81
Thousand-Eyes Idol,Pharaoh's Servant,PSV-E083,20.82,62
Thousand-Eyes Restrict,Pharaoh's Servant,PSV-EN084,0.0,55
Thousand-Eyes Restrict,Pharaoh's Servant,PSV-084,15.93,24
Thousand-Eyes Restrict,Pharaoh's Servant,PSV-E084,26.54,50
Time Seal,Pharaoh's Servant,PSV-EN007,15.84,23
Time Seal,Pharaoh's Servant,PSV-007,1.81,26
Time Seal,Pharaoh's Servant,PSV-E007,11.65,0
Type Zero Magic Crusher,Pharaoh's Servant,PSV-EN074,2.75,39
Type Zero Magic Crusher,Pharaoh's Servant,PSV-074,1.06,2
Type Zero Magic Crusher,Pharaoh's Servant,PSV-E074,0.0,79
Vampire Baby,Pharaoh's Servant,PSV-EN090,0.0,88
Vampire Baby,Pharaoh's Servant,PSV-090,0.99,99
Vampire Baby,Pharaoh's Servant,PSV-E090,0.0,29
Wingweaver,Pharaoh's Servant,PSV-EN096,2.25,25
Wingweaver,Pharaoh's Servant,PSV-096,1.56,93
Wingweaver,Pharaoh's Servant,PSV-E096,3.47,96
World Suppression,Pharaoh's Servant,PSV-EN020,1.99,88
World Suppression,Pharaoh's Servant,PSV-020,0.96,56
World Suppression,Pharaoh's Servant,PSV-E020,0.0,24
Amphibian Beast,Labyrinth of Nightmare,LON-EN008,0.0,48
Amphibian Beast,Labyrinth of Nightmare,LON-008,1.02,5
Amphibian Beast,Labyrinth of Nightmare,LON-E008,11.54,67
Aqua Spirit,Labyrinth of Nightmare,LON-EN068,0.99,98
Aqua Spirit,Labyrinth of Nightmare,LON-068,1.49,68
Aqua Spirit,Labyrinth of Nightmare,LON-E068,4.01,86
Bait Doll,Labyrinth of Nightmare,LON-EN096,0.0,49
Bait Doll,Labyrinth of Nightmare,LON-096,1.05,73
Bait Doll,Labyrinth of Nightmare,LON-E096,12.03,61
Bazoo the Soul-Eater,Labyrinth of Nightmare,LON-EN064,13.0,51
Bazoo the Soul-Eater,Labyrinth of Nightmare,LON-064,2.87,7
Bazoo the Soul-Eater,Labyrinth of Nightmare,LON-E064,7.71,69
Bio-Mage,Labyrinth of Nightmare,LON-EN043,2.45,25
Bio-Mage,Labyrinth of Nightmare,LON-043,0.99,90
Bio-Mage,Labyrinth of Nightmare,LON-E043,0.0,91
Blind Destruction,Labyrinth of Nightmare,LON-EN086,2.45,32
Blind Destruction,Labyrinth of Nightmare,LON-086,1.03,51
Blind Destruction,Labyrinth of Nightmare,LON-E086,0.0,34
Boneheimer,Labyrinth of Nightmare,LON-EN057,2.25,60
Boneheimer,Labyrinth of Nightmare,LON-057,1.04,68
Boneheimer,Labyrinth of Nightmare,LON-E057,0.0,87
Card of Safe Return,Labyrinth of Nightmare,LON-EN029,0.0,68
Card of Safe Return,Labyrinth of Nightmare,LON-029,2.54,67
Card of Safe Return,Labyrinth of Nightmare,LON-E029,29.52,60
Chosen One,Labyrinth of Nightmare,LON-EN014,5.0,26
Chosen One,Labyrinth of Nightmare,LON-014,1.16,32
Chosen One,Labyrinth of Nightmare,LON-E014,1.6,95
Collected Power,Labyrinth of Nightmare,LON-EN078,1.99,49
Collected Power,Labyrinth of Nightmare,LON-078,1.08,28
Collected Power,Labyrinth of Nightmare,LON-E078,0.0,0
Crimson Sentry,Labyrinth of Nightmare,LON-EN033,1.99,82
Crimson Sentry,Labyrinth of Nightmare,LON-033,1.04,42
Crimson Sentry,Labyrinth of Nightmare,LON-E033,4.0,26
Cure Mermaid,Labyrinth of Nightmare,LON-EN041,2.45,36
Cure Mermaid,Labyrinth of Nightmare,LON-041,1.78,31
Cure Mermaid,Labyrinth of Nightmare,LON-E041,5.76,99
Cyclon Laser,Labyrinth of Nightmare,LON-EN095,2.45,56
Cyclon Laser,Labyrinth of Nightmare,LON-095,0.99,44
Cyclon Laser,Labyrinth of Nightmare,LON-E095,15.56,79
Dark Necrofear,Labyrinth of Nightmare,LON-EN065,0.0,94
Dark Necrofear,Labyrinth of Nightmare,LON-065,3.16,98
Dark Necrofear,Labyrinth of Nightmare,LON-E065,0.0,80
Darklord Marie,Labyrinth of Nightmare,LON-EN046,0.0,59
Darklord Marie,Labyrinth of Nightmare,LON-046,1.45,60
Darklord Marie,Labyrinth of Nightmare,LON-E046,14.25,28
Deal of Phantom,Labyrinth of Nightmare,LON-EN084,2.45,19
Deal of Phantom,Labyrinth of Nightmare,LON-084,0.98,18
Deal of Phantom,Labyrinth of Nightmare,LON-E084,0.0,29
Destruction Punch,Labyrinth of Nightmare,LON-EN085,0.0,89
Destruction Punch,Labyrinth of Nightmare,LON-085,1.04,72
Destruction Punch,Labyrinth of Nightmare,LON-E085,0.0,97
Dragonic Attack,Labyrinth of Nightmare,LON-EN101,2.45,9
Dragonic Attack,Labyrinth of Nightmare,LON-101,1.03,22
Dragonic Attack,Labyrinth of Nightmare,LON-E101,7.69,40
Dreamsprite,Labyrinth of Nightmare,LON-EN073,2.45,22
Dreamsprite,Labyrinth of Nightmare,LON-073,1.03,1
Dreamsprite,Labyrinth of Nightmare,LON-E073,0.0,62
Earthbound Spirit,Labyrinth of Nightmare,LON-EN055,0.0,84
Earthbound Spirit,Labyrinth of Nightmare,LON-055,2.18,41
Earthbound Spirit,Labyrinth of Nightmare,LON-E055,0.0,47
Ekibyo Drakmord,Labyrinth of Nightmare,LON-EN099,2.45,59
Ekibyo Drakmord,Labyrinth of Nightmare,LON-099,1.07,39
Ekibyo Drakmord,Labyrinth of Nightmare,LON-E099,14.14,58
Empress Mantis,Labyrinth of Nightmare,LON-EN040,1.99,0
Empress Mantis,Labyrinth of Nightmare,LON-040,1.03,72
Empress Mantis,Labyrinth of Nightmare,LON-E040,0.0,6
Fairy Box,Labyrinth of Nightmare,LON-EN024,0.0,67
Fairy Box,Labyrinth of Nightmare,LON-024,3.18,65
Fairy Box,Labyrinth of Nightmare,LON-E024,2.89,90
Fairy Guardian,Labyrinth of Nightmare,LON-EN039,2.45,70
Fairy Guardian,Labyrinth of Nightmare,LON-039,1.01,8
Fairy Guardian,Labyrinth of Nightmare,LON-E039,17.46,82
Fire Princess,Labyrinth of Nightmare,LON-EN034,0.0,84
Fire Princess,Labyrinth of Nightmare,LON-034,2.34,23
Fire Princess,Labyrinth of Nightmare,LON-E034,13.31,30
Fire Sorcerer,Labyrinth of Nightmare,LON-EN036,0.0,55
Fire Sorcerer,Labyrinth of Nightmare,LON-036,1.05,42
Fire Sorcerer,Labyrinth of Nightmare,LON-E036,0.0,78
Flame Dancer,Labyrinth of Nightmare,LON-EN058,0.0,61
Flame Dancer,Labyrinth of Nightmare,LON-058,1.01,24
Flame Dancer,Labyrinth of Nightmare,LON-E058,13.61,45
Flying Fish,Labyrinth of Nightmare,LON-EN007,1.99,96
Flying Fish,Labyrinth of Nightmare,LON-007,1.03,82
Flying Fish,Labyrinth of Nightmare,LON-E007,16.8,20
Fusion Gate,Labyrinth of Nightmare,LON-EN098,0.0,85
Fusion Gate,Labyrinth of Nightmare,LON-098,2.11,64
Fusion Gate,Labyrinth of Nightmare,LON-E098,13.59,22
Garuda the Wind Spirit,Labyrinth of Nightmare,LON-EN070,5.0,4
Garuda the Wind Spirit,Labyrinth of Nightmare,LON-070,1.14,29
Garuda the Wind Spirit,Labyrinth of Nightmare,LON-E070,16.62,86
Gemini Elf,Labyrinth of Nightmare,LON-EN000,21.83,4
Gemini Elf,Labyrinth of Nightmare,LON-000,7.91,4
Gemini Elf,Labyrinth of Nightmare,LON-E000,40.48,16
Gilasaurus,Labyrinth of Nightmare,LON-EN071,0.0,64
Gilasaurus,Labyrinth of Nightmare,LON-071,1.07,18
Gilasaurus,Labyrinth of Nightmare,LON-E071,15.8,26
Grand Tiki Elder,Labyrinth of Nightmare,LON-EN011,1.99,30
Grand Tiki Elder,Labyrinth of Nightmare,LON-011,1.04,99
Grand Tiki Elder,Labyrinth of Nightmare,LON-E011,0.0,54
Graverobber's Retribution,Labyrinth of Nightmare,LON-EN083,2.45,1
Graverobber's Retribution,Labyrinth of Nightmare,LON-083,0.99,18
Graverobber's Retribution,Labyrinth of Nightmare,LON-E083,6.4,99
Headless Knight,Labyrinth of Nightmare,LON-EN054,2.45,14
Headless Knight,Labyrinth of Nightmare,LON-054,1.71,86
Headless Knight,Labyrinth of Nightmare,LON-E054,5.83,82
Humanoid Slime,Labyrinth of Nightmare,LON-EN003,6.95,69
Humanoid Slime,Labyrinth of Nightmare,LON-003,3.63,76
Humanoid Slime,Labyrinth of Nightmare,LON-E003,0.0,91
Humanoid Worm Drake,Labyrinth of Nightmare,LON-EN005,0.0,12
Humanoid Worm Drake,Labyrinth of Nightmare,LON-005,1.69,12
Humanoid Worm Drake,Labyrinth of Nightmare,LON-E005,0.0,53
Hysteric Fairy,Labyrinth of Nightmare,LON-EN042,2.75,41
Hysteric Fairy,Labyrinth of Nightmare,LON-042,0.98,66
Hysteric Fairy,Labyrinth of Nightmare,LON-E042,0.0,79
Jam Breeding Machine,Labyrinth of Nightmare,LON-EN026,0.0,95
Jam Breeding Machine,Labyrinth of Nightmare,LON-026,1.36,76
Jam Breeding Machine,Labyrinth of Nightmare,LON-E026,0.0,70
Jam Defender,Labyrinth of Nightmare,LON-EN028,5.95,51
Jam Defender,Labyrinth of Nightmare,LON-028,2.38,15
Jam Defender,Labyrinth of Nightmare,LON-E028,15.32,5
Jowgen the Spiritualist,Labyrinth of Nightmare,LON-EN061,4.99,37
Jowgen the Spiritualist,Labyrinth of Nightmare,LON-061,2.15,92
Jowgen the Spiritualist,Labyrinth of Nightmare,LON-E061,26.44,41
Lady Panther,Labyrinth of Nightmare,LON-EN030,2.99,78
Lady Panther,Labyrinth of Nightmare,LON-030,0.97,16
Lady Panther,Labyrinth of Nightmare,LON-E030,0.0,51
Lightning Blade,Labyrinth of Nightmare,LON-EN022,2.95,26
Lightning Blade,Labyrinth of Nightmare,LON-022,1.12,26
Lightning Blade,Labyrinth of Nightmare,LON-E022,0.0,34
Lightning Conger,Labyrinth of Nightmare,LON-EN060,5.0,16
Lightning Conger,Labyrinth of Nightmare,LON-060,0.97,84
Lightning Conger,Labyrinth of Nightmare,LON-E060,0.0,86
Magic Cylinder,Labyrinth of Nightmare,LON-EN104,0.0,93
Magic Cylinder,Labyrinth of Nightmare,LON-104,5.26,50
Magic Cylinder,Labyrinth of Nightmare,LON-E104,14.21,77
Maryokutai,Labyrinth of Nightmare,LON-EN076,2.99,63
Maryokutai,Labyrinth of Nightmare,LON-076,1.04,9
Maryokutai,Labyrinth of Nightmare,LON-E076,0.0,40
Mask of Dispel,Labyrinth of Nightmare,LON-EN017,14.89,14
Mask of Dispel,Labyrinth of Nightmare,LON-017,2.07,4
Mask of Dispel,Labyrinth of Nightmare,LON-E017,0.0,3
Mask of Restrict,Labyrinth of Nightmare,LON-EN018,0.0,13
Mask of Restrict,Labyrinth of Nightmare,LON-018,5.78,5
Mask of Restrict,Labyrinth of Nightmare,LON-E018,18.16,68
Mask of Weakness,Labyrinth of Nightmare,LON-EN015,0.0,73
Mask of Weakness,Labyrinth of Nightmare,LON-015,1.06,52
Mask of Weakness,Labyrinth of Nightmare,LON-E015,0.0,31
Mask of the Accursed,Labyrinth of Nightmare,LON-EN019,0.0,83
Mask of the Accursed,Labyrinth of Nightmare,LON-019,2.34,69
Mask of the Accursed,Labyrinth of Nightmare,LON-E019,40.4,43
Miracle Dig,Labyrinth of Nightmare,LON-EN100,3.73,20
Miracle Dig,Labyrinth of Nightmare,LON-100,1.1,12
Miracle Dig,Labyrinth of Nightmare,LON-E100,9.71,44
Nuvia the Wicked,Labyrinth of Nightmare,LON-EN013,2.95,5
Nuvia the Wicked,Labyrinth of Nightmare,LON-013,0.97,36
Nuvia the Wicked,Labyrinth of Nightmare,LON-E013,0.0,16
Offerings to the Doomed,Labyrinth of Nightmare,LON-EN051,1.99,35
Offerings to the Doomed,Labyrinth of Nightmare,LON-051,1.0,65
Offerings to the Doomed,Labyrinth of Nightmare,LON-E051,0.0,72
Return of the Doomed,Labyrinth of Nightmare,LON-EN021,2.95,72
Return of the Doomed,Labyrinth of Nightmare,LON-021,1.05,48
Return of the Doomed,Labyrinth of Nightmare,LON-E021,0.0,98
Revival Jam,Labyrinth of Nightmare,LON-EN006,1.55,9
Revival Jam,Labyrinth of Nightmare,LON-006,2.76,25
Revival Jam,Labyrinth of Nightmare,LON-E006,18.14,0
Riryoku Field,Labyrinth of Nightmare,LON-EN081,0.0,90
Riryoku Field,Labyrinth of Nightmare,LON-081,1.18,88
Riryoku Field,Labyrinth of Nightmare,LON-E081,13.03,33
Royal Command,Labyrinth of Nightmare,LON-EN080,20.47,91
Royal Command,Labyrinth of Nightmare,LON-080,2.81,42
Royal Command,Labyrinth of Nightmare,LON-E080,14.0,66
Scroll of Bewitchment,Labyrinth of Nightmare,LON-EN048,0.0,24
Scroll of Bewitchment,Labyrinth of Nightmare,LON-048,1.05,18
Scroll of Bewitchment,Labyrinth of Nightmare,LON-E048,2.53,18
Shining Abyss,Labyrinth of Nightmare,LON-EN009,1.99,71
Shining Abyss,Labyrinth of Nightmare,LON-009,1.03,19
Shining Abyss,Labyrinth of Nightmare,LON-E009,0.0,8
Skull Lair,Labyrinth of Nightmare,LON-EN082,2.45,45
Skull Lair,Labyrinth of Nightmare,LON-082,1.03,53
Skull Lair,Labyrinth of Nightmare,LON-E082,0.0,5
Soul of Purity and Light,Labyrinth of Nightmare,LON-EN066,1.99,49
Soul of Purity and Light,Labyrinth of Nightmare,LON-066,1.06,81
Soul of Purity and Light,Labyrinth of Nightmare,LON-E066,0.0,23
Spherous Lady,Labyrinth of Nightmare,LON-EN059,1.99,70
Spherous Lady,Labyrinth of Nightmare,LON-059,1.03,24
Spherous Lady,Labyrinth of Nightmare,LON-E059,0.0,80
Spirit Elimination,Labyrinth of Nightmare,LON-EN102,0.99,49
Spirit Elimination,Labyrinth of Nightmare,LON-102,1.04,21
Spirit Elimination,Labyrinth of Nightmare,LON-E102,0.0,44
Spirit of Flames,Labyrinth of Nightmare,LON-EN067,1.99,26
Spirit of Flames,Labyrinth of Nightmare,LON-067,1.05,12
Spirit of Flames,Labyrinth of Nightmare,LON-E067,16.88,75
Spirit of the Breeze,Labyrinth of Nightmare,LON-EN037,3.95,76
Spirit of the Breeze,Labyrinth of Nightmare,LON-037,1.07,80
Spirit of the Breeze,Labyrinth of Nightmare,LON-E037,1.0,48
Spiritualism,Labyrinth of Nightmare,LON-EN094,0.0,62
Spiritualism,Labyrinth of Nightmare,LON-094,1.21,63
Spiritualism,Labyrinth of Nightmare,LON-E094,16.15,87
St. Joan,Labyrinth of Nightmare,LON-EN045,2.45,93
St. Joan,Labyrinth of Nightmare,LON-045,1.14,13
St. Joan,Labyrinth of Nightmare,LON-E045,0.0,42
Summoner of Illusions,Labyrinth of Nightmare,LON-EN063,0.0,94
Summoner of Illusions,Labyrinth of Nightmare,LON-063,1.11,38
Summoner of Illusions,Labyrinth of Nightmare,LON-E063,0.0,7
Supply,Labyrinth of Nightmare,LON-EN075,0.0,33
Supply,Labyrinth of Nightmare,LON-075,1.06,59
Supply,Labyrinth of Nightmare,LON-E075,4.66,77
Swordsman of Landstar,Labyrinth of Nightmare,LON-EN002,1.99,69
Swordsman of Landstar,Labyrinth of Nightmare,LON-002,1.05,65
Swordsman of Landstar,Labyrinth of Nightmare,LON-E002,15.44,33
The Dark Door,Labyrinth of Nightmare,LON-EN093,2.75,14
The Dark Door,Labyrinth of Nightmare,LON-093,1.19,93
The Dark Door,Labyrinth of Nightmare,LON-E093,0.0,76
The Earl of Demise,Labyrinth of Nightmare,LON-EN056,2.45,85
The Earl of Demise,Labyrinth of Nightmare,LON-056,1.63,95
The Earl of Demise,Labyrinth of Nightmare,LON-E056,5.0,83
The Emperor's Holiday,Labyrinth of Nightmare,LON-EN087,2.45,54
The Emperor's Holiday,Labyrinth of Nightmare,LON-087,0.97,11
The Emperor's Holiday,Labyrinth of Nightmare,LON-E087,0.0,45
The Gross Ghost of Fled Dreams,Labyrinth of Nightmare,LON-EN053,5.0,29
The Gross Ghost of Fled Dreams,Labyrinth of Nightmare,LON-053,1.06,25
The Gross Ghost of Fled Dreams,Labyrinth of Nightmare,LON-E053,0.0,21
The Masked Beast,Labyrinth of Nightmare,LON-EN001,0.0,58
The Masked Beast,Labyrinth of Nightmare,LON-001,3.12,52
The Masked Beast,Labyrinth of Nightmare,LON-E001,16.91,80
The Portrait's Secret,Labyrinth of Nightmare,LON-EN052,2.99,11
The Portrait's Secret,Labyrinth of Nightmare,LON-052,1.06,26
The Portrait's Secret,Labyrinth of Nightmare,LON-E052,0.0,8
The Rock Spirit,Labyrinth of Nightmare,LON-EN069,0.0,39
The Rock Spirit,Labyrinth of Nightmare,LON-069,5.74,14
The Rock Spirit,Labyrinth of Nightmare,LON-E069,8.23,60
The Unfriendly Amazon,Labyrinth of Nightmare,LON-EN031,1.99,82
The Unfriendly Amazon,Labyrinth of Nightmare,LON-031,1.07,98
The Unfriendly Amazon,Labyrinth of Nightmare,LON-E031,0.0,28
Tornado Bird,Labyrinth of Nightmare,LON-EN072,10.8,51
Tornado Bird,Labyrinth of Nightmare,LON-072,1.02,66
Tornado Bird,Labyrinth of Nightmare,LON-E072,17.36,31
Tornado Wall,Labyrinth of Nightmare,LON-EN023,0.0,57
Tornado Wall,Labyrinth of Nightmare,LON-023,1.21,68
Tornado Wall,Labyrinth of Nightmare,LON-E023,0.0,2
Torrential Tribute,Labyrinth of Nightmare,LON-EN025,0.0,80
Torrential Tribute,Labyrinth of Nightmare,LON-025,4.84,74
Torrential Tribute,Labyrinth of Nightmare,LON-E025,32.28,20
United We Stand,Labyrinth of Nightmare,LON-EN049,15.53,78
United We Stand,Labyrinth of Nightmare,LON-049,5.45,35
United We Stand,Labyrinth of Nightmare,LON-E049,20.38,77
Worm Drake,Labyrinth of Nightmare,LON-EN004,5.0,36
Worm Drake,Labyrinth of Nightmare,LON-004,1.05,76
Worm Drake,Labyrinth of Nightmare,LON-E004,16.23,95
A Feint Plan,Legacy of Darkness,LOD-032,1.11,63
A Legendary Ocean,Legacy of Darkness,LOD-EN078,15.0,5
A Legendary Ocean,Legacy of Darkness,LOD-078,1.03,55
A Wingbeat of Giant Dragon,Legacy of Darkness,LOD-EN044,2.45,9
A Wingbeat of Giant Dragon,Legacy of Darkness,LOD-044,1.05,51
Airknight Parshath,Legacy of Darkness,LOD-EN062,11.99,80
Airknight Parshath,Legacy of Darkness,LOD-062,19.68,25
Array of Revealing Light,Legacy of Darkness,LOD-EN029,7.5,19
Array of Revealing Light,Legacy of Darkness,LOD-029,1.06,88
Asura Priest,Legacy of Darkness,LOD-EN071,0.0,44
Asura Priest,Legacy of Darkness,LOD-071,3.4,85
Bad Reaction to Simochi,Legacy of Darkness,LOD-EN093,14.07,68
Bad Reaction to Simochi,Legacy of Darkness,LOD-093,1.58,84
Bark of Dark Ruler,Legacy of Darkness,LOD-EN010,10.07,29
Bark of Dark Ruler,Legacy of Darkness,LOD-010,1.0,25
Bottomless Trap Hole,Legacy of Darkness,LOD-EN092,0.0,30
Bottomless Trap Hole,Legacy of Darkness,LOD-092,1.93,43
Bubble Crash,Legacy of Darkness,LOD-EN090,2.95,31
Bubble Crash,Legacy of Darkness,LOD-090,1.0,7
Cave Dragon,Legacy of Darkness,LOD-EN040,0.0,85
Cave Dragon,Legacy of Darkness,LOD-040,1.3,43
Convulsion of Nature,Legacy of Darkness,LOD-EN084,3.95,61
Convulsion of Nature,Legacy of Darkness,LOD-084,1.18,73
Creature Swap,Legacy of Darkness,LOD-EN081,0.0,68
Creature Swap,Legacy of Darkness,LOD-081,12.72,77
Dark Ruler Ha Des,Legacy of Darkness,LOD-EN001,0.0,97
Dark Ruler Ha Des,Legacy of Darkness,LOD-001,3.84,65
Disappear,Legacy of Darkness,LOD-EN089,0.0,40
Disappear,Legacy of Darkness,LOD-089,1.05,6
Double Snare,Legacy of Darkness,LOD-EN015,2.45,53
Double Snare,Legacy of Darkness,LOD-015,1.03,66
Dragon Manipulator,Legacy of Darkness,LOD-EN026,2.45,33
Dragon Manipulator,Legacy of Darkness,LOD-026,1.04,11
Dragon's Gunfire,Legacy of Darkness,LOD-EN045,2.95,34
Dragon's Gunfire,Legacy of Darkness,LOD-045,1.05,65
Dragon's Rage,Legacy of Darkness,LOD-EN048,2.45,30
Dragon's Rage,Legacy of Darkness,LOD-048,1.08,10
Drop Off,Legacy of Darkness,LOD-EN097,0.0,8
Drop Off,Legacy of Darkness,LOD-097,1.22,75
